N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
250,0,0.7,0.3,rapi,0.962,0.959,4.75,0.8674999999999999,0.8355,0.8674999999999999,0.024874529132029716,0.04235468610921789,0.12820732896568718,0.19772669477220461,0.12060836209274613,0.0983868724791992,0.014323600081845744,-0.05590105505090004,0.8675,0.8355,0.8675,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.7,0.3,tspa,0.9375,0.9285,3.9,0.9045,0.8975,0.9045,0.010171228261100331,-0.13345199953418174,0.11734054334414526,0.08698701590017198,0.023150062794599212,-0.06602826912562898,0.0020425179733435384,-0.17812452652402921,0.9045,0.8975,0.9045,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.7,0.3,upi,0.9085,0.903,3,0.7575000000000001,0.7105,0.7575000000000001,0.01241984922754971,-0.029303410483596637,0.14707764005014248,0.08472567837626856,-0.021569884866430758,-0.04006639643356247,-7.623746731323933e-4,-0.11453909858768097,0.7575,0.7105,0.7575,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
250,0,0.8,0.3,mmr,0.7835,0,0.65,0.974,0.9755,0.974,-0.061566508336151474,-0.10787559143871073,0.0864677099958413,-1.013782319893524,-0.9942708271047359,-0.07602428320805155,-0.05943288303999855,-0.10676815726459266,0.974,0.9755,0.974,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,rapi,0.968,0.8635,2.7,0.9705,0.9655,0.9705,0.010526277301193033,0.03825283656400913,0.08757925939402544,0.12103883120091084,0.1043265853420878,0.05117795517701573,0.008156259013906486,0.012533956043679462,0.9705,0.9655,0.9705,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,tspa,0.9475,0.9345,1.8499999999999999,0.974,0.971,0.974,0.0031617425730420473,-0.05952670452530062,0.08399201866122112,0.03766064970469976,0.02228252186409693,-0.054108339936918326,0.0013010378188586524,-0.07258887352885057,0.974,0.971,0.974,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.8,0.3,upi,0.9455,0.9265,3.9,0.954,0.9485,0.954,0.009423229439061468,-0.05313843995021228,0.10364950861003631,0.09126960888356397,0.026648779213425244,-0.07250198811063957,0.0025042875061367376,-0.09227488699748787,0.954,0.9485,0.954,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
250,0,0.9,0.3,mmr,0.883,0,1.05,0.994,0.994,0.994,-0.03178364156694583,-0.10055539997934249,0.06645185522673716,-0.5444965075788236,-0.5007232798136455,-0.10156168839794821,-0.029996427521775948,-0.0998085833585205,0.994,0.994,0.994,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
250,0,0.9,0.3,rapi,0.958,0.7925,1.4500000000000002,0.993,0.9925,0.993,0.004068018813855796,0.017265754236205355,0.06938557843329993,0.05871551062988363,0.07012397117962914,-0.0011817467430147444,0.0038354441722780463,0.011224286913863013,0.993,0.9925,0.993,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
250,0,0.9,0.3,tspa,0.9465,0.937,1.25,0.9925,0.9925,0.9925,1.1974419010062522e-4,-0.026034059695954626,0.06806446097371746,0.0017588391042690568,0.009359946022930594,-0.03292788639174715,1.0496391253633774e-4,-0.029968242590033167,0.9925,0.9925,0.9925,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
250,0,0.9,0.3,upi,0.9495,0.94,1.5,0.993,0.992,0.993,0.0018696547881822806,-0.028412424149815374,0.07372152033713796,0.025362861644691252,0.011311381124771007,-0.05511397054947231,3.9661655615519376e-4,-0.03711595976643167,0.993,0.992,0.993,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
250,0.3,0.7,0.3,mmr,0.6635,0,0.8999999999999999,0.9525,0.956,0.9525,-0.08211620180365728,-0.13567884475801906,0.10308783946528191,-1.3172822815463956,-1.3268478486695134,-0.13724339794815887,-0.08172075080574814,-0.13364090619259106,0.9525,0.956,0.9525,italic(N) == 250,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
